ID_DIARIO,BUS_FK,PERIODO,DIAS_MES_aux,DIAS_LABORADOS,TIEMPO_DISPONIBLE,DIAS_PEND_aux,Prom_Vueltas_x_Dia_aux,VUELTAS_EFECTUADAS,VUELTAS_PENDIENTES,KM_EFECTUADOS,KM_PENDIENTES,T_x_Vuelta_prom_aux,TIEMPO_OPERATIVO,T_prom_Descanso_Vuelta_aux,  PARADAS_ADMINSITRATIVAS  ,SALDO_TIEMPO_aux,Nro_Averias,Hrs_Averiado,Peso_Prev_aux,Hrs_Prev,  PARADAS PLANIFICADAS  ,  xTC  ,xDisponibilidad
188,32,01/08/2022,31,31,744,,,,," 5,019.60 ", 808.40 ,,267, 56.07 ,,,10.00,62.50,, 77.00 ,, 329.50 , 0.8103 
189,32,01/09/2022,30,30,720,,,,," 4,925.60 ", 714.40 ,,262, 55.02 ,,,7.00,52.50,, 75.00 ,, 314.50 , 0.8331 
190,32,01/10/2022,31,31,744,,,,," 5,000.80 ", 827.20 ,,266, 55.86 ,,,11.00,69.50,, 77.00 ,, 335.50 , 0.7928 
191,32,01/11/2022,30,30,720,,,,," 4,906.80 ", 733.20 ,,261, 54.81 ,,,10.00,56.50,, 75.00 ,, 317.50 , 0.8220 
192,32,01/12/2022,31,31,744,,,,," 5,057.20 ", 770.80 ,,269, 56.49 ,,,11.00,63.50,, 77.00 ,, 332.50 , 0.8090 
325,32,01/01/2023,31,31,744,,,,," 5,414.40 ", 413.60 ,,288, 60.48 ,,,7.00,40.50,, 77.00 ,, 328.50 , 0.8767 
365,32,01/02/2023,28,28,672,,,,," 5,038.40 ", 225.60 ,,268, 56.28 ,,,6.00,32.50,, 71.00 ,, 300.50 , 0.8918 
193,33,01/07/2022,31,31,744,,,,," 5,264.00 ", 564.00 ,,280, 58.80 ,,,8.00,55.00,, 77.00 ,, 335.00 , 0.8358 
194,33,01/08/2022,31,31,744,,,,," 5,038.40 ", 789.60 ,,268, 56.28 ,,,10.00,64.50,, 77.00 ,, 332.50 , 0.8060 
195,33,01/09/2022,30,30,720,,,,," 4,662.40 ", 977.60 ,,248, 52.08 ,,,12.00,80.50,, 75.00 ,, 328.50 , 0.7549 
196,33,01/10/2022,31,31,744,,,,," 5,019.60 ", 808.40 ,,267, 56.07 ,,,11.00,68.50,, 77.00 ,, 335.50 , 0.7958 
197,33,01/11/2022,30,30,720,,,,," 4,963.20 ", 676.80 ,,264, 55.44 ,,,9.00,54.50,, 75.00 ,, 318.50 , 0.8289 
198,33,01/12/2022,31,31,744,,,,," 5,339.20 ", 488.80 ,,284, 59.64 ,,,8.00,38.50,, 77.00 ,, 322.50 , 0.8806 
326,33,01/01/2023,31,31,744,,,,," 5,583.60 ", 244.40 ,,297, 62.37 ,,,5.00,30.50,, 77.00 ,, 327.50 , 0.9069 
366,33,01/02/2023,28,28,672,,,,," 4,963.20 ", 300.80 ,,264, 55.44 ,,,6.00,22.00,, 71.00 ,, 286.00 , 0.9231 
199,34,01/07/2022,31,31,744,,,,," 4,963.20 ", 864.80 ,,264, 55.44 ,,,12.00,55.00,, 77.00 ,, 319.00 , 0.8276 
200,34,01/08/2022,31,31,744,,,,," 4,831.60 ", 996.40 ,,257, 53.97 ,,,14.00,47.50,, 77.00 ,, 304.50 , 0.8440 
201,34,01/09/2022,30,30,720,,,,," 4,944.40 ", 695.60 ,,263, 55.23 ,,,8.00,35.50,, 75.00 ,, 298.50 , 0.8811 
202,34,01/10/2022,31,31,744,,,,," 5,019.60 ", 808.40 ,,267, 56.07 ,,,8.00,41.50,, 77.00 ,, 308.50 , 0.8655 
203,34,01/11/2022,30,30,720,,,,," 5,000.80 ", 639.20 ,,266, 55.86 ,,,9.00,48.50,, 75.00 ,, 314.50 , 0.8458 
204,34,01/12/2022,31,31,744,,,,," 5,057.20 ", 770.80 ,,269, 56.49 ,,,12.00,44.50,, 77.00 ,, 313.50 , 0.8581 
327,34,01/01/2023,31,31,744,,,,," 5,395.60 ", 432.40 ,,287, 60.27 ,,,5.00,31.00,, 77.00 ,, 318.00 , 0.9025 
367,34,01/02/2023,28,28,672,,,,," 5,076.00 ", 188.00 ,,270, 56.70 ,,,4.00,17.00,, 71.00 ,, 287.00 , 0.9408 
205,35,01/07/2022,31,31,744,,,,," 4,888.00 ", 940.00 ,,260, 54.60 ,,,10.00,59.00,, 77.00 ,, 319.00 , 0.8150 
206,35,01/08/2022,31,31,744,,,,," 5,019.60 ", 808.40 ,,267, 56.07 ,,,10.00,62.50,, 77.00 ,, 329.50 , 0.8103 
207,35,01/09/2022,30,30,720,,,,," 4,925.60 ", 714.40 ,,262, 55.02 ,,,9.00,57.50,, 75.00 ,, 319.50 , 0.8200 
208,35,01/10/2022,31,31,744,,,,," 5,000.80 ", 827.20 ,,266, 55.86 ,,,11.00,69.50,, 77.00 ,, 335.50 , 0.7928 
209,35,01/11/2022,30,30,720,,,,," 4,906.80 ", 733.20 ,,261, 54.81 ,,,10.00,56.50,, 75.00 ,, 317.50 , 0.8220 
210,35,01/12/2022,31,31,744,,,,," 5,057.20 ", 770.80 ,,269, 56.49 ,,,11.00,63.50,, 77.00 ,, 332.50 , 0.8090 
328,35,01/01/2023,31,31,744,,,,," 5,414.40 ", 413.60 ,,288, 60.48 ,,,7.00,40.50,, 77.00 ,, 328.50 , 0.8767 
368,35,01/02/2023,28,28,672,,,,," 5,038.40 ", 225.60 ,,268, 56.28 ,,,5.00,24.50,, 71.00 ,, 292.50 , 0.9162 
211,36,01/07/2022,31,31,744,,,,," 4,568.40 "," 1,259.60 ",,243, 51.03 ,,,9.00,70.00,, 77.00 , 354.00 , 313.00 , 0.7764 
212,36,01/08/2022,31,31,744,,,,," 4,436.80 "," 1,391.20 ",,236, 49.56 ,,,11.00,87.00,, 77.00 , 344.00 , 323.00 , 0.7307 
213,36,01/09/2022,30,30,720,,,,," 4,418.00 "," 1,222.00 ",,235, 49.35 ,,,8.00,77.50,, 75.00 , 332.50 , 312.50 , 0.7520 
214,36,01/10/2022,31,31,744,,,,," 4,342.80 "," 1,485.20 ",,231, 48.51 ,,,8.00,92.50,, 77.00 , 343.50 , 323.50 , 0.7141 
215,36,01/11/2022,30,30,720,,,,," 4,258.20 "," 1,381.80 ",,226.5, 47.57 ,,,9.00,82.50,, 75.00 , 336.00 , 309.00 , 0.7330 
216,36,01/12/2022,31,31,744,,,,," 4,765.80 "," 1,062.20 ",,253.5, 53.24 ,,,28.00,65.00,, 77.00 , 348.50 , 318.50 , 0.7959 
